lang,doc_key,from_id,to_id,text,author_name,year_birth,year_death,from_placename,from_latitude,from_longitude,from_type,from_type_d,to_placename,to_latitude,to_longitude,to_type,to_type_d,text_long,id_short
cs,0085_0001-0003-0000-0002-0000,Q3967,Q222,z Wiedu táh do Albánie,"Dostál-Lutinov, Karel",1871,1923,Neuwied,50.428611111111,7.4613888888889,city,city,Albania,41,20,country,country," Leč , milý brachu , k tomu třeba peněz !# Bez peněz těžko vládnout v říši Švihy ,# i Herben s Macharem jen za peníze hrají .# Než Vilém z Wiedu táh do Albánie ,# dva miliony napřed vypůjčil si !# Mně hnusí se už hnízdo , jež zvem Praha ,# a nejraděj bych zapakoval kufry ,",cs-4100
cs,0091_0001-0000-0000-0006-0000,Q157290,Q1288,od Šumavy až do Karpat,"Dvořák, Xaver",1858,1939,Bohemian Forest,49,13.5,mountain,mountain,Carpathian Mountains,47,25.5,mountain,mountain," zjasní se nad našimi kraji ,# Vlast jedna navždy spojí nás !# Čech , Slovák buď dnes svazek pevný ,# od Šumavy až do Karpat ,# a odpor skrytý nebo zjevný# dovedem my už ušlapat .# Paž k paži , bok se k boku staví ,",cs-4264
cs,0099_0001-0000-0000-0007-0000,Q157290,Q194263,od Šumavy až do Tater,"Dvořák, Xaver",1858,1939,Bohemian Forest,49,13.5,mountain,mountain,Tatra Mountains,49.177777777778,19.908333333333,mountain,mountain," a lkala „ nedej zahynout nám ! “# V Svobody jitru vítězný byl’s země ples ,# jenž do jásotu srdce vznímal ,# od Šumavy až do Tater se mocně nes’# a navždy stigma rabství snímal .# Dnes modlitbou jsi díků našich zas# a dětskou prosbou v zpěvu libém ;",cs-4663
cs,0154_0-0006-0000-0022-0000,Q106274,Q43266,Od Lehnice do Moravy,"Furch, Vincenc",1817,1864,Legnica,51.21006,16.1619,city,city,Moravia,49.5,17,region,land," Marně vrahu odpírají .# U Lehnice tekou proudy ,# V krvi plovou lidské oudy .# Od Lehnice do Moravy# Už se chystá divoch dravý .# Moravo , jak se uchráníš ?# Moravo , jak se ubráníš ?",cs-7709
cs,0154_0-0009-0000-0019-0000,Q37,Q270,Z Litvy zpátky do Varšavy,"Furch, Vincenc",1817,1864,Lithuania,55.2,24,country,country,Warsaw,52.23,21.0111111111111,city,city, Hle pobočník jeho# Svou bambitkou s koně srazil# Vůdce nešťastného ! * )# Z Litvy zpátky do Varšavy# Skrze nepřítele# Prorazil se rek Dembinski,cs-7803
cs,0163_0001-0002-0000-0006-0000,Q214644,Q157290,od našich Krkonoš až k Šumavě,"Geisslová, Irma",1855,1914,Giant Mountains,50.75,15.583333,mountain,mountain,Bohemian Forest,49,13.5,mountain,mountain," v tom naše vzkřísení a naše spása ;# dej nám ji , Hospodine laskavě ,# ať vzlétá orel nadšení a jásá# od našich Krkonoš až k Šumavě !",cs-8182
cs,0172_0001-0002-0000-0012-0000,Q214644,Q157290,Z Krkonošů až k Šumavě,"Havelka, Matěj",1809,1892,Giant Mountains,50.75,15.583333,mountain,mountain,Bohemian Forest,49,13.5,mountain,mountain," Pravdu svatou zvěstujíc :# Staroslavné české jméno# Znova bude oslaveno .# Z Krkonošů až k Šumavě ,# Z Tater do Krušných až hor# Rozléhá se k tvojí slávě# Osmi milionů sbor :",cs-8648
cs,0172_0001-0002-0000-0012-0000,Q194263,Q4198,Z Tater do Krušných,"Havelka, Matěj",1809,1892,Tatra Mountains,49.177777777778,19.908333333333,mountain,mountain,Ore Mountains,50.58333333,13,mountain,mountain," Staroslavné české jméno# Znova bude oslaveno .# Z Krkonošů až k Šumavě ,# Z Tater do Krušných až hor# Rozléhá se k tvojí slávě# Osmi milionů sbor :# Staroslavné české jméno",cs-8648
cs,0179_0001-0000-0000-0001-0008,Q487971,Q671415,z Reichenhallu do Waidringu,"Havlíček Borovský, Karel",1821,1856,Bad Reichenhall,47.724722222222,12.876944444444,city,city,Waidring,47.566666666667,12.566666666667,village,village," a přejděme v heroický tón ,# nebo co ti chci teď vypravovat ,# to byl čertův shon .# Cesta z Reichenhallu do Waidringu –# ty ji musíš také dobře znát –# ta se nedá žádnou ordonancí# přeoktrojovat .",cs-9125
cs,0185_0001-0000-0000-0005-0000,Q14960,Q183111,z Brna po Jihlavu,"Heyduk, Adolf",1835,1923,Brno,49.195277777778,16.608333333333,city,city,Jihlava,49.400277777778,15.590555555556,city,city," Nuž , bych navždy smazal tu i jinou skvrnu ,# Moravu chci míti od hranic až k Brnu .# Nedáš - li jí klidně , pak v čele svých davů# zaberu ji také z Brna po Jihlavu ! “# Zaškareděn Jiří svolal svoje rádce :# „ Ej , zda uposlechnem’ hlasu zeměkrádce ? “# Na to chmurný Tunkl : „ Věru , krásné přání !",cs-9360
cs,0185_0001-0000-0000-0010-0000,Q45898788,Q40,z Novohradska s cháskou dotěravou do Rakous,"Heyduk, Adolf",1835,1923,Novohradsko,48.8081056,14.7723794,region,land,Austria,48,14,country,country," od kamenů , kopí , mečů , per ,# z Novohradska s cháskou dotěravou# do Rakous byl zahnán Dampierre .# Hájilť hradu proti jeho tlumu –# v ňadrech chrabrost , v hlavě ducha vzlet –# hejtman direktorů : Jáchym z Chlumu ,",cs-9365
cs,0186_0001-0001-0000-0016-0000,Q754194,Q217527,z Campanily k Piazzettě,"Heyduk, Adolf",1835,1923,St Mark's Campanile,45.4340277777778,12.3390277777778,default,tower,Piazza San Marco,45.434,12.338,city part,city part," zřím - li k břehům zelenavým , kde se v modru Alpy tratí ,# a myšlének hejno v mysli a mé srdce v čárném květě ,# obrátím - li oko svoje z Campanily k Piazzettě .# Na laguny zřím - li dolů , loď kde křídlem ptáka pluje ,# odkud na břeh zlostná bouře posud lebky vyhazuje .# Na komory olověné , vězen kde svůj prs rozrýval ,",cs-9387
cs,0186_0001-0001-0000-0043-0000,Q76925,Q41,od Lagun až k Řecku,"Heyduk, Adolf",1835,1923,Venetian Lagoon,45.413055555556,12.297222222222,bay,bay,Greece,38.5,23,country,country," s tíží uvěříte moje zdání :# zřel jsem moře , nebylo však mořem ,# od Lagun až k Řecku bylo plání . –# Večer byl , a smutno na náměstí ,# jenom měsíc hleděl matně dolů ,# a my jsme se tiše procházeli ,",cs-9416
cs,0192_0001-0002-0000-0007-0000,Q549849,Q12770704,z Bánovců k Machnáči,"Heyduk, Adolf",1835,1923,Bánovce nad Bebravou,48.718611111111,18.258055555556,city,city,Machnáč,48.744311,18.2337,river,river," z Bánovců k Machnáči .# Pojdi , duško moje ,# vzhůru slunko kráčí .# Nekráčí , ba letí ,",cs-9869
cs,0192_0001-0004-0000-0010-0000,Q213230,Q1653,z Hronce až k Dunaji,"Heyduk, Adolf",1835,1923,Hron,47.8179,18.7417,river,river,Danube,48.0951111111111,8.15488888888889,river,river," za vorem se plaví vor# polehoučku , v polotaji# plave z Hronce až k Dunaji .# Houpavě se nese dál ,# podél strží , podél skal ;# předivně se voda pění ,",cs-9923
cs,0192_0001-0005-0000-0010-0000,Q1780,Q1781,z Prešpurka k Budapešti,"Heyduk, Adolf",1835,1923,Bratislava,48.144722222222,17.112777777778,city,city,Budapest,47.498333333333,19.040833333333,city,city," hútá as a šepce ,# když z Prešpurka k Budapešti# dolů spěchá křepce ?# Zlobí ho , že rodnou mamku# opouští tak ranně ,",cs-9946
cs,0208_0001-0001-0000-0031-0000,Q194263,Q1653,od Tater až po Dunaj krasší,"Heyduk, Adolf",1835,1923,Tatra Mountains,49.177777777778,19.908333333333,mountain,mountain,Danube,48.0951111111111,8.15488888888889,river,river," rovna mladé lani .# Ztepilá je , štíhlá je ,# veselá a ladná ,# od Tater až po Dunaj# krasší není žádná .# Krásná paní Anica# v parku dům má bílý ,# věčité kde jasany",cs-10858
cs,0216_0001-0000-0000-0001-0004,Q26119,Q25409,od Prešova dolů ke Košici,"Heyduk, Adolf",1835,1923,Prešov,49,21.233333333333,city,city,Košice,48.716666666667,21.25,city,city," byly horské proluky a cesty ,# my však jako roztříštěné vlny# dále spěli polem , lesní klestí ,# od Prešova dolů ke Košici ,# v zmrzlých rukou zbraň a jíní v líci .# Chumelice , vichor rozkacený ,# více nežli Klapka třely pluky ,",cs-11190
cs,0216_0001-0000-0000-0001-0012,Q1653,Q2978,od Dunaje k Řeznu,"Heyduk, Adolf",1835,1923,Danube,48.0951111111111,8.15488888888889,river,river,Regensburg,49.0166666666667,12.0833333333333,city,city," Stihal jsem je , – nestih , – marná snaha !# Kdož pak znal ty hadité jich cesty# lesem bavorským a jeho klesty ,# který od Dunaje k Řeznu sáhá !# A tak schvácen , zničen duší , tělem# smrť jsem očekával utrmácen želem .# Teď jsem teprv poznal , jak to hněte ,",cs-11198
cs,0229_0001-0000-0000-0013-0000,Q1085,Q171150,z Prahy do Uher,"Heyduk, Adolf",1835,1923,Prague,50.0875,14.4213888888889,city,city,Kingdom of Hungary,47,19,country,country," však ranních na to chvil# vrah hrozný českou královou# nám v loži zardousil !# K nám vzals ji z Prahy do Uher ,# dnes na věčnosti už ,# s týmž skácela se výděsem# jak Václav její muž ! “",cs-12151
cs,0230_0001-0000-0000-0015-0000,Q373804,Q214956,Od Telče k Znojmu,"Heyduk, Adolf",1835,1923,Telč,49.184229941699,15.452771068011,city,city,Znojmo,48.855540667876,16.048796054219,city,city,"Od Telče k Znojmu nesen král# i nutí průvod v spěch ,# hned vystřídán je mužem muž# a družstvo má se v jech .",cs-12166
cs,0236_0001-0000-0000-0003-0002,Q1015282,Q213,z Falkenštýna ; na rychlo do Čech,"Heyduk, Adolf",1835,1923,Burg Falkenstein an der Ranna,48.4939,13.7825,castle/fort,castle ruin,Czech Republic,50,15,country,country," blíž posvátného Týna ,# se zjevil s pyšnou družinou# pan Záviš z Falkenštýna ;# na rychlo do Čech přiklusal ,# na rychlo , časně z rána ,# kůň rudou pěnou potřísněn# i statného šat pána ,",cs-12475
cs,0236_0001-0000-0000-0022-0000,Q616317,Q518360,"z Bedružic , vzhůru již k Bílinské tvrzi","Heyduk, Adolf",1835,1923,Bezdružice,49.907353061714,12.97116813512,city,city,Bílina,50.548631074934,13.775445246997,city,city," ozdravím , oči až spatří ,# jak hoří čeští bratří .# Viz jen , dle úmluv jdou nám vstříc# Gutstein a Jiří z Bedružic ,# vzhůru již k Bílinské tvrzi ;# zdráv budu , věru brzy ! “ –# Klusali ruče dál a dál ;# pán Koldic na pavlanu stál .",cs-12495
cs,0237_0001-0001-0000-0004-0000,Q191687,Q85,z Heljopole kráčí do Kahiry,"Heyduk, Adolf",1835,1923,Heliopolis,30.129527777778,31.288888888889,ancient city,ancient city,Cairo,30.0444444444444,31.2358333333333,city,city," ni krůpěj nelze nalézt sladké vody .# Tak vypravuje Kopt , muž Krista víry ,# pln zbožnosti těm putujícím k vděku ,# již z Heljopole kráčí do Kahiry ,# kde v písku sfinx spí přes čtyřicet věků# a divý chamsin tajemnými slovy",cs-12506
cs,0237_0001-0002-0000-0006-0000,Q1741,Q1085,z Vídně k Praze,"Heyduk, Adolf",1835,1923,Vienna,48.2083333333333,16.3725,city,city,Prague,50.0875,14.4213888888889,city,city," Nedbá mistr , neví , co syn robí ,# vzdychá jenom , kalný zrak se mračí ,# mluví polohlasem : „ Hrozné doby !# Smrtná pomsta z Vídně k Praze kráčí ;# děs a hrůza ze dne ke dni vzrůstá ,# v žhavé krvi tone země pustá !# Zítra však , ó běda , z toho vření ,",cs-12517
cs,0237_0001-0002-0000-0007-0000,Q1008750,Q193719,Ze Stříbra juž tajnými jsem slovy do Chebu,"Heyduk, Adolf",1835,1923,Stříbro,49.753048391098,13.004146255782,city,city,Cheb,50.079759165169,12.373995588434,city,city," v , achtu‘ Friedlandský je zemězrádce ,# orel vojsk , leč nad tou vaší hlavou# v duchu vidím káň už krákoravou .# Ze Stříbra juž tajnými jsem slovy# do Chebu psal listy Gordonovi ;# proč ta malá nadcházka vás leká ?# Důvěrník můj od rána juž čeká .# Čeká , vím , vždyť desátá už padla ,",cs-12518
cs,0242_0001-0000-0000-0001-0006,Q934703,Q1113619,Od Kouřimi k Lipanům,"Heyduk, Adolf",1835,1923,Kouřim,50.003119975612,14.977096015946,city,city,Lipany,50.03472222,14.93916667,village,village,"Od Kouřimi k Lipanům se táhnou# smutná pole , nasycena krví ,# luhy neúmornou hrůzou prahnou .# Kdo jde kolem , hněviv mračí brvy ,",cs-12720
cs,0242_0001-0000-0000-0001-0012,Q32530,Q213,Z Lužic do Čech,"Heyduk, Adolf",1835,1923,Lusatia,51.5450653,14.72614,region,land,Czech Republic,50,15,country,country," mraky nasycen jest nebe svor ,# v jejichž ňadrech černá smrť si vije# kolem hlavy války rudé zmije .# Z Lužic do Čech učiněn je vpád ;# co dřív českou volnosť utýralo ,# divým kvapem na útěk se dalo# lvem jak polekané hejno stád ,",cs-12726
cs,0242_0001-0000-0000-0001-0012,Q32530,Q1085,z Lužic k Praze,"Heyduk, Adolf",1835,1923,Lusatia,51.5450653,14.72614,region,land,Prague,50.0875,14.4213888888889,city,city," divy tvoří český klenot rudý ,# aniž dbá kdos přitlumených zpráv ,# Sasův že a Čechův valný dav# z Lužic k Praze vede Arnheim smělý ,# jemuž , vojevůdcem podružen ,# Hanuš z Řičan prvním vojům velí ,# aby by zpět vzal říši , dravcův plen .",cs-12726
cs,0242_0001-0000-0000-0001-0012,Q384403,Q63855,z Litoměřic do Roudnice,"Heyduk, Adolf",1835,1923,Litoměřice,50.53355947692,14.131899491403,city,city,Roudnice nad Labem,50.425361080625,14.261840817268,city,city," aby by zavalily zmetky dračí .# Václav z Roupova , druh Hanušův ,# tlučovským juž údolím tou chvílí# z Litoměřic do Roudnice pílí . . . “# „ Zadrž ! “ vece Berka , Michna : „ Mluv ! “# Ale posel nedbaje těch sporu# ani nepřestává ve hovoru :",cs-12726
cs,0246_0001-0000-0000-0007-0000,Q750224,Q392571,od Strakonic k Štěkni,"Heyduk, Adolf",1835,1923,Strakonice,49.261497897079,13.902396874574,city,city,Štěkeň,49.267231177778,14.00591071602,village,village," od Strakonic k Štěkni ,# až tam tudy půjdeš ,# dudáku náš , řekni !# Vyběhnem ti v ústret",cs-12969
cs,0247_0001-0000-0000-0004-0000,Q10396708,Q158245,od Šamonic k Písku,"Heyduk, Adolf",1835,1923,Šamonice,49.3578,14.0308,village,village,Písek,49.30888068684,14.147530601921,city,city," „ Dost ! Skončili jsme při tu zlou ;# zde zbavil jsem vás vlčí hlavy ,# a v Blatné za to složím svou ! “ –# Šel dudák od Šamonic k Písku ,# a Petr Dulík mimo šel . . .# Kam , Petře ? “ „ Spasit naši vísku ,# což nic jsi o ní neslyšel ? “",cs-12994
cs,0248_0001-0000-0000-0041-0001,Q744598,Q616334,z Hradčan k Vyšehradu,"Heyduk, Adolf",1835,1923,Hradčany,50.089444444444,14.397222222222,city part,city part,Vyšehrad,50.064427188,14.417644214,castle/fort,historic fort," vlaštovice houfně odlétají ,# bojíce se podzimního chladu ,# k jihu táhnou z Hradčan k Vyšehradu .# Cítím náhle , jak mi chladnou líce . . .# ach , to nejsou družné vlaštovice# slétající z Letné svěžích sklonků ,",cs-13047
cs,0249_0001-0000-0000-0010-0000,Q954596,Q986068,Z Brodu cizák v český kraj k Domažlicům,"Heyduk, Adolf",1835,1923,Havlíčkův Brod,49.607899638305,15.580727658514,city,city,Domažlice,49.440605680467,12.929798039263,city,city," s pány Němci k Brodu ,# rychle za ním pospíšil# lid českého rodu .# Z Brodu cizák v český kraj# k Domažlicům míří ;# v Chotěšově zuří boj ,# jitří se a víří .# Cizák cepy umlácen",cs-13094
cs,0249_0001-0000-0000-0011-0000,Q220,Q1085,z Říma do Prahy,"Heyduk, Adolf",1835,1923,Rome,41.893055555556,12.482777777778,city,city,Prague,50.0875,14.4213888888889,city,city,Pan legát přijel z Říma do Prahy ;# s ním z Hradce Králové Jan Rokycana . . .# To Carvajala málo těšilo –# víc krále Jiřího a mistra Jana .,cs-13095
cs,0249_0001-0000-0000-0026-0000,Q327764,Q158245,od Prachatic k Písku,"Heyduk, Adolf",1835,1923,Prachatice,49.013013368826,13.997533003713,city,city,Písek,49.30888068684,14.147530601921,city,city," černého si koně sedlat dává .# Koně černého jak jeho duše ,# s vojskem přes hranice do Čech kluše# do Šumavy , od Prachatic k Písku ,# na co padne , plení : hrad i vísku .# Prachatic půl vybil , Písek celý :# „ Dál , jen dále k Bílé Hoře , “ velí .",cs-13110
cs,0250_0001-0000-0000-0013-0000,Q43266,Q4198,od Moravy ku hor Krušných davu,"Heyduk, Adolf",1835,1923,Moravia,49.5,17,region,land,Ore Mountains,50.58333333,13,mountain,mountain," zhltit chtělo pomsty moře rudé !# Nechať zloba na nás křivdy páše ,# svaty jsou nám řeč a právo naše# od Moravy ku hor Krušných davu ,# od Krkonoš milou po Šumavu ,# jejíž čarodějně krásný skvost# naším byl a bude na věčnost .",cs-13133
cs,0250_0001-0000-0000-0013-0000,Q214644,Q157290,od Krkonoš milou po Šumavu,"Heyduk, Adolf",1835,1923,Giant Mountains,50.75,15.583333,mountain,mountain,Bohemian Forest,49,13.5,mountain,mountain," Nechať zloba na nás křivdy páše ,# svaty jsou nám řeč a právo naše# od Moravy ku hor Krušných davu ,# od Krkonoš milou po Šumavu ,# jejíž čarodějně krásný skvost# naším byl a bude na věčnost .# Nebojujem lstí a ostřím hrotů ,",cs-13133
cs,0250_0001-0000-0000-0016-0002,Q1653,Q392483,od Dunajských břehů ku Strbskému plesu,"Heyduk, Adolf",1835,1923,Danube,48.0951111111111,8.15488888888889,river,river,Štrbské Pleso,49.12,20.06194444,region,land," od Dunajských břehů ku Strbskému plesu ,# od Moravy družné k Prutu na východu ,# do dalekých zemí rozprchlému rodu !# Nesu Ti je z Tater , té velebné skrýše ,",cs-13137
cs,0250_0001-0000-0000-0016-0002,Q43266,Q182445,od Moravy družné k Prutu,"Heyduk, Adolf",1835,1923,Moravia,49.5,17,region,land,Prut,45.4688,28.2072,river,river," od Dunajských břehů ku Strbskému plesu ,# od Moravy družné k Prutu na východu ,# do dalekých zemí rozprchlému rodu !# Nesu Ti je z Tater , té velebné skrýše ,# kde na horské štíty Parom žalmy píše ,",cs-13137
cs,0282_0001-0000-0000-0026-0000,Q157290,Q194263,od Šumavy neproniklých borů až po háje Tater zelené,"Jahn, Jiljí Vratislav",1838,1902,Bohemian Forest,49,13.5,mountain,mountain,Tatra Mountains,49.177777777778,19.908333333333,mountain,mountain," národní činnosti zbuzené ,# od Šumavy neproniklých borů# až po háje Tater zelené ,# od kapličky svatého Hostína# k rozvalinám padlého Ojbína# z našich hvězdic , jež se v novém lesku",cs-14397
cs,0291_0001-0000-0000-0001-0009,Q157290,Q194263,Od Šumavy až po výšiny Tater,"Jelínek, Hanuš",1878,1944,Bohemian Forest,49,13.5,mountain,mountain,Tatra Mountains,49.177777777778,19.908333333333,mountain,mountain," přehlédla policie foniatra .# Jak ptakopysk to vzácný exemplář ,# byť gothajský ho neznal kalendář .# Od Šumavy až po výšiny Tater# má foniatra jenom Alma mater .# Jsouť Češi známá raça prohnaná :# získali ho : docenta Seemanna .",cs-14651
cs,0291_0001-0000-0000-0001-0009,Q12130,Q101081,od Bretagně slunné do Provence,"Jelínek, Hanuš",1878,1944,Brittany,48,-3,region,land,Provence,44,6,region,region," a Abrahama uviděl už skorem ,# ač vlásku takřka nemá na lebi ,# pan rada teď se učí ba be bi .# Ač od Bretagně slunné do Provence# na kathedrách všech zkoušel svoje chance ,# co jich jen chová sladká Francie ,",cs-14651
cs,0292_0001-0000-0000-0001-0000,Q10817265,Q10817986,"od Plešivce , Toku ke Třemšínu","Jelínek, Hanuš",1878,1944,Plešivec,49.8114,13.9892,mountain,mountain,Třemšín,49.5672,13.7772,mountain,mountain," sedmero věží zmlklého kláštera ,# dlouho se pak díval k brdských lesů moři ,# kterak rudý západ nad Třemošnou hoří ,# kterak od Plešivce , Toku ke Třemšínu# z lesů vystupují černá stáda stínů ,# kterak v temnu plavou chlumy za Vltavou .# Když pak uzřel svítit hvězdu Venušinu ,",cs-14653
cs,0292_0001-0000-0000-0001-0000,Q10817953,Q10817986,"od Plešivce , Toku ke Třemšínu","Jelínek, Hanuš",1878,1944,Tok,49.7047,13.8769,mountain,mountain,Třemšín,49.5672,13.7772,mountain,mountain," sedmero věží zmlklého kláštera ,# dlouho se pak díval k brdských lesů moři ,# kterak rudý západ nad Třemošnou hoří ,# kterak od Plešivce , Toku ke Třemšínu# z lesů vystupují černá stáda stínů ,# kterak v temnu plavou chlumy za Vltavou .# Když pak uzřel svítit hvězdu Venušinu ,",cs-14653
cs,0306_0001-0000-0000-0001-0001,Q223353,Q3148382,z Opatije šel jsem do Iky,"Jesenská, Růžena",1863,1940,Opatija,45.334722222222,14.306944444444,city,city,Ika,45.3066040739079,14.2801886848932,city,city," jak ubíhala světla dolů v stínu ,# až u Volosky v moři končila .# Noc byla dlouhá , ještě delší jitro ,# když z Opatije šel jsem do Iky ,# a z Iky zase zpátky , moje nitro# byl jeden záchvěv touhy veliký .# Sám nebudu zde břehem bloudit více ,",cs-15233
cs,0317_0001-0000-0000-0004-0000,Q215573,Q131574,od Beskyd k stříbrné Vltavě,"Kalus, Josef",1855,1934,Beskids,49.41666667,20.25,mountain,mountain,Vltava,50.34769,14.474382,river,river," po lodi rozbité .# Paprsků slunečních# korunu na hlavě ,# létáte od Beskyd# k stříbrné Vltavě .# A zpět se vracíte# s perlami ve klíně# a jimi žehnáte",cs-15739
cs,0329_0001-0001-0000-0010-0000,Q131574,Q157728,od Vltavy Dále do Smrčin,"Vacek Kamenický, František Jaroslav",1806,1869,Vltava,50.34769,14.474382,river,river,Fichtelgebirge,50.05,11.85,mountain,mountain," Do země , kolébky velké slávy ,# Ohražené horami co reky .# Zbytky Němců berou ve záseky# Outočiště ; a však od Vltavy# Dále do Smrčin a do Šumavy# Různě dávají se na outěky .# „ Ajhle ! toť ta zaslíbená země ! “# Zvolá vůdce ; pluci jásají :",cs-17010
cs,0329_0001-0001-0000-0010-0000,Q131574,Q157290,od Vltavy Dále do Smrčin a do Šumavy,"Vacek Kamenický, František Jaroslav",1806,1869,Vltava,50.34769,14.474382,river,river,Bohemian Forest,49,13.5,mountain,mountain," Do země , kolébky velké slávy ,# Ohražené horami co reky .# Zbytky Němců berou ve záseky# Outočiště ; a však od Vltavy# Dále do Smrčin a do Šumavy# Různě dávají se na outěky .# „ Ajhle ! toť ta zaslíbená země ! “# Zvolá vůdce ; pluci jásají :",cs-17010
